County,Area_name,Area_ID,Area_name_coord,Area_name_with_coord_or_not,Area_range,Area_plot_method,Ban,Ban_period,Publish_law,Transgress_law,Fishery_type,Conservation_type,Conservation_level
台中市,五甲人工魚礁區禁漁區,22,24°24'00''N;120°33'24''E,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑0.5浬範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,松柏人工魚礁區禁漁區,23,24°26'09''N;120°34'48''E,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑0.6浬範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,台中港(一)人工魚礁區禁漁區,24,24°15'12''N;120°25'00''E,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑0.7浬範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,台中港(二)人工魚礁區禁漁區,25,24°12'12''N;120°22'30''E,Yes,926,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑0.8浬範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,大安(一)保護礁禁漁區,26,"A點24°23'12''N;120°33'00''E。
B點24°23'42''N;120°32'12''E。
C點24°22'54''N;120°31'36''E。
D點24°22'24''N;120°32'30''E。",Yes,n/a,ABCD內,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
3.以A、B、C、D四點所連四方形範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,大安(二)保護礁禁漁區,27,"A點24°23'12''N;120°32'50''E。
B點24°23'36''N;120°33'24''E。
C點24°22'36''N;120°33'36''E。
D點24°22'12''N;120°33'12''E。",Yes,n/a,ABCD內,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
4.以A、B、C、D四點所連四方形範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,大甲保護礁禁漁區,28,"A點24°25'30''N;120°34'48''E。
B點24°25'30''N;120°34'00''E。
C點24°25'00''N;120°33'48''E。
D點24°25'00''N;120°34'30''E。",Yes,n/a,ABCD內,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如需於保育區內投放或除去水產生物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需申請本府書面同意後，始可為之。
5.以A、B、C、D四點所連四方形範圍以內水域均屬之。",全年,漁業法第44條第4、7款,漁業法第65條第5款及第10條,n/a,"
人工魚礁
","
多功能使用區"
台中市,台中市海域,29,n/a,n/a,500,n/a,不得在距岸500公尺以內水域作業。,"6/16~
9/15",漁業法第9條、第14條、第37條、第44條第1項第4款、第46條及第54條第5款,漁業法第65條第3、7款,?鱙,n/a,"
多功能使用區"
台東縣,台東縣沿岸海域,30,n/a,n/a,22224,n/a,本縣轄區內自高潮線以深至距岸12浬以內（含綠島、蘭嶼）海域，禁止採捕珊瑚（含珊瑚礁）,全年,漁業法第44條第1款,漁業法第60條第2項,n/a,珊瑚礁,多功能使用區
台東縣,台東縣綠島鄉沿岸海域,31,n/a,n/a,5556,n/a,本縣綠島沿岸3浬海域內禁止漁船使用流刺網及三層刺網網具作業,全年,漁業法第44條第4款,漁業法第65條第5款或第10條,"刺網(三)層、
其他網具（流刺網）",n/a,多功能使用區
台東縣,台東縣綠島鄉沿岸海域,32,"柴口人工魚礁禁漁區：
N22°41'16”；E121°28'48”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入作業。,全年,漁業法第44條第4、7款,漁業法第65條第5款或第10條,所有網具,人工魚礁,多功能使用區
台東縣,台東縣綠島鄉沿岸海域,33,"龜灣人工魚礁禁漁區：
N22°38'33”；E121°28'31”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入作業。,全年,漁業法第44條第4、7款,漁業法第65條第5款或第10條,所有網具,人工魚礁,多功能使用區
台東縣,台東縣沿岸海域,34,n/a,n/a,1112,n/a,使用燈火之漁船（含娛樂漁船）禁止在本縣距岸6浬以內作業,全年,漁業法第44條第4款,漁業法第65條第5款,"燈火
",n/a,多功能使用區
台東縣,台東縣沿岸海域,35,"竹湖人工魚礁禁漁區：
N23°15'30”N；E121°26'00”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,36,"宜灣人工魚礁禁漁區：
N23°12'00”；E121°25'00”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,37,"小港人工魚礁禁漁區：
N23°10'00”；E121°24'30”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,38,"大武（一）保護礁禁漁區：
A點N22°18'00”；E121°54'00”
B點N22°19'48”；E121°54'24”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,39,"大武（二）保護礁禁漁區：
A點N22°19'48”；E120°54'24”
B點N22°21'12”；E120°54'50”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,40,"大武（三）保護礁禁漁區：
A點N22°20'24”；E120°56'00”
B點N22°19'00”；E120°56'00”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
